"quality","radius","falling","offset_sign","offset_power","mu","gpu_status","gpu_phi","cpu_status","cpu_phi","raw_error"
"FINE","8.0","false","-1","5","-0.9527507","0.0","1.0","0","NaN","NaN"
"FINE","8.0","false","1","5","-0.9527307","1.0","11.590389","1","11.591480650941822","0.001091399232837631"
"FINE","8.0","false","-1","6","-0.9527417","0.0","1.0","0","NaN","NaN"
"FINE","8.0","false","1","6","-0.9527397","1.0","13.929151","1","13.906763367596843","0.022387213763019886"
"FINE","8.0","false","-1","7","-0.9527408","0.0","1.0","0","NaN","NaN"
"FINE","8.0","false","1","7","-0.9527406","2.0","1.0","1","16.282925577917865","NaN"
"FINE","1.5","false","-1","2","-0.01","0.0","1.0","0","NaN","NaN"
"FINE","1.5","false","1","2","0.01","1.0","6.3184066","1","6.318464735865341","5.815398667863292E-5"
"FINE","1.5","false","-1","3","-0.001","0.0","1.0","0","NaN","NaN"
"FINE","1.5","false","1","3","0.001","1.0","8.624386","1","8.624623795104394","2.3796136416009972E-4"
"FINE","1.5","false","-1","4","-1.0E-4","0.0","1.0","0","NaN","NaN"
"FINE","1.5","false","1","4","1.0E-4","1.0","10.927438","1","10.9275567862135","1.1900392590291631E-4"
"FINE","1.5","false","-1","5","-1.0E-5","0.0","1.0","0","NaN","NaN"
"FINE","1.5","false","1","5","1.0E-5","1.0","13.049584","1","13.23017653702125","0.18059214828834058"
"FINE","1.5","false","-1","6","-1.0E-6","2.0","1.0","2","NaN","NaN"
"FINE","1.5","false","1","6","1.0E-6","2.0","1.0","1","15.532765072010973","NaN"
"FINE","1.5","false","-1","7","-1.0E-7","2.0","1.0","2","NaN","NaN"
"FINE","1.5","false","1","7","1.0E-7","2.0","1.0","1","17.835350532087748","NaN"
"FINE","1.05","false","-1","2","0.8316977","0.0","1.0","0","NaN","NaN"
"FINE","1.05","false","1","2","0.85169774","1.0","4.758793","1","4.758786515074782","6.362122483949406E-6"
"FINE","1.05","false","-1","3","0.8406977","0.0","1.0","0","NaN","NaN"
"FINE","1.05","false","1","3","0.84269774","1.0","7.1279025","1","7.1279114823509","8.974568917352599E-6"
"FINE","1.05","false","-1","4","0.84159774","0.0","1.0","0","NaN","NaN"
"FINE","1.05","false","1","4","0.8417977","1.0","9.440796","1","9.438754152687979","0.0020417457495209845"
"FINE","1.05","false","-1","5","0.84168774","0.0","1.0","0","NaN","NaN"
"FINE","1.05","false","1","5","0.8417077","1.0","11.753402","1","11.743405937650166","0.009995818636454601"
"FINE","1.05","false","-1","6","0.84169674","0.0","1.0","0","NaN","NaN"
"FINE","1.05","false","1","6","0.8416987","1.0","13.932438","1","14.057048715853432","0.124610819124916"
"FINE","1.05","false","-1","7","0.84169763","0.0","1.0","0","NaN","NaN"
"FINE","1.05","false","1","7","0.8416978","2.0","1.0","1","16.41062589617966","NaN"
"FINE","8.0","true","-1","2","-0.9871472","0.0","1.0","0","NaN","NaN"
"FINE","8.0","true","1","2","-0.96714723","1.0","4.3062553","1","4.306255396423116","5.5846943958215434E-8"
"FINE","8.0","true","-1","3","-0.9781472","0.0","1.0","0","NaN","NaN"
"FINE","8.0","true","1","3","-0.97614723","1.0","6.3223033","1","6.32229973987533","3.555260168042196E-6"
